lable,review_text
0.0,chat lên ổng out sau
0.0,lấy giấy bút ra
0.0,chúc em
1.0,gap sena thi im con me chung m mom vao
0.0,chúc em
0.0,hiabe
0.0,em an nghỉ
0.0,dark
0.0,con
0.0,lấy giấy bút ghi vô
0.0,chúc em
0.0,sgb froggba
0.0,ngai ren chua zo nhom ma
0.0,f
0.0,chuc em
0.0,fffffffff
0.0,dảk
0.0,m giỡn
0.0,rest in peace
0.0,f for respect
0.0,on trễ tí
0.0,ff
0.0,ripppppp
0.0,dak quá pepesi ơi
0.0,không khí nặng quá
0.0,adidaphat
0.0,chúc em là clg v abe
0.0,ui
0.0,thành kính phân ưu
0.0,rip f
0.0,bà cụ tứ
0.0,m cười
0.0,hồn trương ba
0.0,adidas
0.0,se_giaosưdanh bớt spa
0.0,f
0.0,xam
0.0,mị nha tao ms thi
0.0,bà cụ
0.0,hmmmm
0.0,gì v ae
0.0,fffffffffffffffffffffffffffffffffffffff
0.0,bà cụ nha
0.0,cả lò nhà tôi chia buồn cùng bạn
0.0,trương ba da hang thit
0.0,chuyện gì v ae
0.0,m cười
0.0,vk ck a phủ nhá
0.0,đoàn thuyền đánh cá
0.0,cố lên
0.0,chia buồn bạn cậu nha
0.0,chia buồn cùng bạn
0.0,cái đó hồi đó có mấy thằng spam hồi r mà
1.0,xàm lol quá ba gà
0.0,chiếc thuyền nha
0.0,đù gặp sena
0.0,xoáy nòng đi
0.0,hồn trương da ba rọi béo
0.0,cư co ba la quât nha
0.0,đúng òi
1.0,m câm đi
0.0,dạ
0.0,ngài ren đạo lí
0.0,gặp rồi
0.0,ok ngài
0.0,nghe chưa anh trung
0.0,ok
0.0,dung
0.0,oke ngài
0.0,vk ck a phủ phang tờ nú nhá
0.0,quạo nhìu lun
0.0,có nh
0.0,sena
0.0,ra tràng thì dễ quá
0.0,tới h ngài xàml
0.0,ena
0.0,ko gap
0.0,mình đi minh tâm đi
0.0,có nhiều
0.0,tới
0.0,có
0.0,cháy lê
0.0,quạu m đó ren
0.0,quạo
0.0,hjx
0.0,có gặp sena ko
0.0,quạo sena
0.0,chào anh trung lòi bụi cỏ đen
0.0,den gio dao ly
0.0,ich
0.0,quạo sen
1.0,clm hỗn
0.0,sap chet ma
1.0,clm hỗn
0.0,gap senaa
1.0,hỗn
0.0,sena kìa
0.0,chắc ra người đàn bà hàng chài rồi
1.0,m hỗn
0.0,ngon cơm sena
0.0,d
0.0,sena bên kia
0.0,xóa stream cũ đi a
1.0,sủa dơ giỏiq
0.0,thien loi danh m
0.0,đâu r tb
0.0,chúng mày đừng có chat sena nữa
0.0,out
0.0,th thây
0.0,sena team kia
0.0,sela
0.0,im đi để ổng đánh
0.0,sela
0.0,out a ơi
0.0,quạo tư linh quạo sena quạo zeross
0.0,sena vẫn đang tìm tận
0.0,cãi thầy núi đè
0.0,im để ổng đánh coi
0.0,học trò md
1.0,im đi senq cc
0.0,zed
0.0,abe hqa khoe trym chưa bị khóa kênh hả
0.0,gặp sela
0.0,hello thầy giáo ba
0.0,gặp cc
1.0,duma sena ben kia
0.0,sema team kia
0.0,vl gặp sena
0.0,có gặp đâu
0.0,wtf
1.0,làm tốt cc
0.0,hong đánh đc con nào lun
0.0,ko nó gank cho lòi lol đó
0.0,gặp sena team kia
1.0,gap cc
0.0,sena team kia
0.0,zed
1.0,sena clm tụi mày đòn hoài
0.0,yasuo
0.0,lb đi
1.0,gặp cc xàm cức
1.0,gặp sena a ba ơi
0.0,gập cc
1.0,tui may xam qua đê ông chơi đi
0.0,gap sena roi
0.0,già mà kỹ năng
0.0,gặp người em cũ sela
0.0,chưa ban pick sao biết hay z
1.0,gap cc
0.0,qiyana đi
0.0,sena ben kia abe oi
0.0,bot xl di
0.0,yasuo abe
0.0,sena cái à
1.0,đòn cc à
0.0,meta sena kìa
1.0,gặp sena thì sao im đi tụi m
0.0,quiyana
0.0,sena mid
0.0,gap sena roi kia abe
0.0,gặp sena kìa
0.0,bên sela chậm à
1.0,làm gì gặp xàm lol
0.0,choi senna
0.0,meta sena
0.0,sgb frogba
0.0,pick gragas
0.0,sena kia a
0.0,senna di mid di abeeeeeee
0.0,có gặp đâu mấy th kia hùa à
0.0,sena team kia kìa
0.0,galio a
1.0,có cái cc
1.0,im hết đi gặp cc
0.0,gặp sena team kia
0.0,gặp sena kia
0.0,ko gặp
0.0,sena meta
0.0,tí xem shark tank thầy
0.0,sena cc
1.0,gặp cc toàn bọn óc cho gặp cmm
1.0,biết gì mà gặp hùa vl
0.0,sena team kìa thầy
0.0,gặp senaaa
0.0,gặp sena à
0.0,sena ben kia
1.0,may thg lz hua
0.0,gap sena tran dau dinh menh
0.0,kèo gì cx đc
0.0,senae team kia
0.0,aba out đó im đi
1.0,sena cc mtl
0.0,senna mid di abeeeeeeeeeeeeee
0.0,ổng lại out
1.0,cẩmtùng ngu
0.0,pik bên kia thì im đi
0.0,đánh senna đi
0.0,team kia sena
0.0,galio all lane
0.0,trung bụi cỏ đen
0.0,ổ out bây h
0.0,gặp senaaaa
0.0,ổng out bây h
0.0,co gap dau tui no xam l ay
0.0,tụi nó dụ ổng out
0.0,gặp sena aba ơi
0.0,meta sena bên kia sena đang chuỗi lên để delay
1.0,co gap cc ay
1.0,im đi
0.0,shark tank qua xem r
1.0,sena cc à
0.0,v ngài ren dậy
1.0,có cl ấy
1.0,gặp cái máu l
0.0,nói nữa ổng out bây giờ
1.0,có gặp đâu xl
1.0,sena cc tui bay a
0.0,đánh tf đi
0.0,hặp sena r
1.0,im đi mấy thằng l
1.0,cái lz má
0.0,lại sena team kia cc
0.0,hlv bị kick
0.0,sena kệ sena giùm cái
0.0,galio hem
1.0,co cl
0.0,không có gặp
1.0,gặp cái cc
0.0,hlv top vcs dạy hlv bị kích
1.0,sena cc
0.0,team ma
0.0,team kia senateam kia sena
1.0,không gặp nha nó xàm lol
1.0,gặp cc xam
0.0,đánh thần bài
0.0,lb
0.0,gap sena roi abe
1.0,sena cút
0.0,đừng nói
1.0,sena cái cc bớt xàm lol
0.0,rừng
0.0,gặp senaaaaaaaaa
0.0,đừng nói sena nữa ổng out giờ
0.0,đâu có gặp đâu vcl
0.0,engrisk
1.0,mấy th kia hùa kih vl gặp cái lol
0.0,senaaaaaaaaaaaaaa
0.0,senaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
0.0,keke
0.0,diana đi rừng
0.0,gặp sena rồi sao
0.0,gặp sena kìa thầy
0.0,english
0.0,sena roi abe
0.0,gap than co bac roi
0.0,senaaaaaaaaaaaaaaa
0.0,engrik
0.0,gặp đâu
0.0,team kia sena
0.0,không gặp tụi nó đòn thôi
1.0,có gặp đé o đâu mấy thg ngu
0.0,có gặp đ đâu
0.0,sena đang stream đấy bọn m không tin thì vào xrm
1.0,gặp đâu ngáo ak
0.0,sao nay ko out à
0.0,hello ông già
0.0,inh lich
0.0,engrisk
0.0,englisk
0.0,fissssssssssssssssssssssssss
0.0,fish
0.0,có con c
0.0,sane kia thay
0.0,stream sena đâu v ae
0.0,ín lịt
0.0,fizz đi thầy
0.0,gặp sena thật
0.0,fish nha
0.0,engrisk căng quá zậy
0.0,hfhdhfh
0.0,tắt chát tnao nhi
1.0,câm mẹ mồm đi
0.0,tui m dam
0.0,fizz de
1.0,gặp đâucó cc
1.0,sena cai cc
0.0,ngao ak lam gi gap
0.0,hlv top vcs dạy hlv bị kích
0.0,sena team kia kia aba
0.0,fan sena rácccccccccccccccccc
0.0,sena dang stream
0.0,fizz đê
0.0,sylas
0.0,syndra
0.0,có sena éo dau
0.0,sao ko out đi
1.0,gặ cái lol
1.0,gập cc mà gập
0.0,thiếu ap
0.0,sao qua nono lag qua abe ơi
0.0,gặp đâu cm đơ ak
0.0,em tu udit
1.0,xam l qua co gap d dau
0.0,biết chơi fizz kh thầy
0.0,sena team ki
0.0,fish
0.0,rì ton
1.0,bot xam long
0.0,phải ha
0.0,lụm con zed
0.0,gặp cc sena rách
0.0,sena đang stream mà
0.0,có phải sena đâu
1.0,có cc mà sena bên kia
0.0,ính lịch
0.0,fizz đi
0.0,sena chuỗi cao thủ r khó gặp
0.0,không gặp tụi nó đòn thôii
0.0,thiếu ap pick renek
0.0,u địch
0.0,fish or fizz
0.0,ngay sau khi đã hoàn thành
0.0,sá lỵt
0.0,sena live bên nào ae
0.0,in lích
0.0,trong khi đó các nhà
0.0,fan sena rácccccc
0.0,english ác quá
0.0,xkieu
0.0,sena s
0.0,ít lịch ác z
0.0,sena q
0.0,hello
0.0,làm sao để có thể làm được điều đó
0.0,sena e
0.0,diana choi vladimir di thay
0.0,morder thua diana
0.0,tiếng gì vậy
0.0,khoaduong anh
1.0,sena clgt
0.0,gây war ít thôi
0.0,phân tích
0.0,sena t
0.0,engrisk ác z
1.0,gặp cái máu để yên ổng đánh đi đòn cc
0.0,fan sbtc rac
0.0,sena đánh j mà
1.0,fan sena rác
0.0,có ai thấy abe vừa khóc ko
0.0,xkieu săn r
0.0,vladimir
0.0,k phải sena đâu sena đang stream mà
0.0,xúc động về tình yêu của mình hỏi về tình yêu của mình hỏi về tình yêu của mình hỏi về
0.0,kh phair sena nha
0.0,rì thung
1.0,clm má
1.0,đỉ a na
0.0,gặp xkieu r
0.0,clm engrisk
0.0,rì tung
0.0,rì thun
0.0,các nhà khoa học và công nghệ
0.0,lingardinho
0.0,engrish
0.0,xkieu dou sena
0.0,xkieu d
0.0,xkieu bên kia kìa
0.0,sena sylas à ae
0.0,sá lịt
0.0,vl thầy coach thầy thì có mà thành cãi nhau à
0.0,w của ee
1.0,mày tệ
0.0,zô
0.0,lúc thì sena lúc xkieu
0.0,xkieu no cho m di
0.0,xkieu dual sela
0.0,sao có gặp sena ko
0.0,lingardinho nó spam tao chửi
0.0,rì tung
0.0,tiếng thái englissh
0.0,an xin
0.0,dạy ngài ăn xin à
0.0,xkeuf
0.0,ăn xin
1.0,gap cl dau ma tui no xl
0.0,ăn xin
0.0,dạy ăn xin
0.0,có gặp sena đâu
0.0,sena kìa anh ba ơi
1.0,clm kkk
0.0,xkieu sp à
0.0,m ăn xin
0.0,nè thầy
0.0,ai rồi cuxg xin
0.0,fan this fan that chứ
0.0,là con naovaayj
0.0,dạy xin
0.0,hènnnnn
0.0,gà foreverrrr
0.0,ăn xin online
0.0,thầy nhắc về sena cai đi thầy
0.0,pr
1.0,meta cái cmm
0.0,xoá blitz
0.0,ổng có care sena gì đâu nói ổng lại out game bây giờ
0.0,sena stream ở đâu v
0.0,blit
0.0,xóa bliz
0.0,jog
1.0,xam lz eo phai sena
0.0,có trình
0.0,hello thầy giáo ba nhe
0.0,trung aka theshy hoà khương m thấy ổng có quan tâm k
0.0,blottt
1.0,có sena đâu mấy thg ml
1.0,trình lz
1.0,trinh lol
0.0,view bằng sena
1.0,có cl
0.0,pls give me çannta
1.0,bọn lz spam để thể hiện cg
0.0,thiêu đốt đi ný
1.0,có con cak này
0.0,pr
0.0,thận yếu vl
0.0,m co trinh
0.0,có trình mà là trình
0.0,khóc vcc
1.0,m sĩ diện m k có trình
0.0,chào anh trung
0.0,đi sục
1.0,má lừa éo đc kìa cay
0.0,suy thận
1.0,ỉa hả
0.0,tụi bây thấy ổng có quan tâm k mà sena
1.0,aba tệ vl
0.0,sena dau
0.0,xem dì v ae
0.0,tôi dại dột
0.0,h đái lần
0.0,sena đâu
0.0,sena mid kia
1.0,sena đâu con mẹ chúng m
0.0,dzạ ngài
0.0,sena qq gì vậy ở đây không chứa rái
1.0,sena đâu clm
0.0,sena đâu mấy thằng hùa
0.0,có sena con c gì đâu
0.0,ren
0.0,đái hoài vậy
0.0,thằng tôi dại dột nó đánh cho lòi l
0.0,kênh chat sao sao ấy ta đang vui tự nhiên xàm đòn tùm lùm đang content vs ren
0.0,k thiêu đốt sao ăn sylas
0.0,fanboy baga kìa
0.0,sena đổi tên đi mod hả ae
1.0,tệ cc mấy thằng lozz
0.0,ai quan tâm mà nhắc hoài thế
0.0,tiểu đường v
0.0,ko
0.0,ko
0.0,fanboi việt cg iu cáo
0.0,sao anh ba phải ngưng đăng video youtube vậy
0.0,nghi ngờ vội
0.0,đâu sena đâu sena của bọn m đâu
0.0,đái quải z
0.0,ko nha ngài
0.0,tin đc ngài ơi
1.0,sena dau dm
0.0,không
0.0,thằng sena có đổi tên cc đâu vẫn là sena mà
0.0,haha ko
0.0,tin là sai
0.0,sena thì kệ mẹ nó liên quan gì tới abe
0.0,kkk
0.0,hqhaja
0.0,khinh
0.0,sena đâu ae
0.0,nói xấu
0.0,xong
1.0,tệ
1.0,ăn lone rồi ngài ơi
1.0,clm cắn lén
0.0,ngài nói chuẩn ngài
0.0,nói xấu
0.0,hahahah
0.0,đúng r
0.0,hợp lí
0.0,chơi game toàn feed
0.0,phải tin tưởng học trò chứ ngài
0.0,má ngài
0.0,thôi rồi
0.0,ts híu pinky
0.0,ai fda
1.0,clm ác vậy
0.0,vs
0.0,đâu meta sena của bọn mày đâu
0.0,nói xấu
1.0,đâm ác clm
1.0,vcl luon
0.0,sena đổi tên thành thầy giáo ba rồi
0.0,chuẩn
0.0,hài
1.0,học trò ngu rồi ngài ơi
0.0,đúng ẹ luôn
0.0,đâm sau lưng à ngài
0.0,ngài dơ
0.0,đúng vậy thưa ngài
0.0,ngài ren chọt
0.0,xóa blitz
0.0,xóa blitz
0.0,ren lao
1.0,mày đâm sau lưng
1.0,đâm cc à
0.0,thầy ren chưởi quá
0.0,đâm lén
0.0,nói đểu
0.0,ca này cháu chịu
0.0,hahahahah
0.0,đâm sau lưng
0.0,bờ lịt
0.0,xóa vlit
0.0,ngài nói chỉ có đúng
0.0,pr blitz mà
0.0,tài trợ
0.0,đà nẵng nghỉ học rồi ae ơi
0.0,vl
0.0,anh trung amazon
0.0,thầy lol
0.0,ngày ren live ở đâu z th
0.0,đâm ác
0.0,xoá blitz
0.0,đâm
0.0,nó nói xấu abe
0.0,nghỉ học mẹ r abe ơi
0.0,toàn bờ lịt
0.0,nghe rồi nha
0.0,hi
1.0,ren nó chửi dô mặt
0.0,ai chưa xoá blitz nhớ xoá blitz
0.0,đúng r ngài
0.0,nói xấu thầy kìa
0.0,ai đấy
0.0,đau vl
1.0,ngu
0.0,noi xâu
0.0,khịa ai
1.0,nó chửi tới
0.0,abe ko tu duy
0.0,xoá bờ lịt
0.0,ngài ơi trò về
1.0,chetme
1.0,vcl
0.0,ai chưa xóa blitz nhớ xóa blitz
0.0,diễm
0.0,hahahaa
1.0,clmmmm
0.0,ai chưa xóa blitz nhớ xoá blitz
1.0,lật mặt vcl
0.0,win
1.0,ngu
0.0,ngài nói xấu thầy
1.0,dơ vcl
0.0,kho chiu
1.0,clmm
0.0,ngài quíu
0.0,hay
0.0,diễn
1.0,clm ngài
0.0,ren nói xấu abe kìa
0.0,lật mặt
1.0,con đi mẹ nó lặt mặt nhanh vl
0.0,ngài nói xấu
0.0,diễn vl
0.0,lật mặt
0.0,ngài nói tới
0.0,ngài quíu
0.0,ngài lật
1.0,chetcondime
0.0,diễn ác
0.0,nói xấu aba kìa
0.0,nhanh vlon
0.0,vl ren
0.0,v
0.0,quíu
1.0,dien vai lz
0.0,ddiễnacs
0.0,nó nói xấu abe kìa
0.0,cắn lén aba kìa
0.0,ren nói xấu ông kìa
0.0,ngài gò vấp
0.0,diễn viên xkieu
0.0,đang nói xấu
0.0,nó ns xấu abe
0.0,ngài nói xấu thầy chứ gì
0.0,ngày stream ở đâu z
0.0,quằng
0.0,ngài rén
0.0,ngài mặt
0.0,diễn
0.0,ngài đâm sau lưng
0.0,xkieu gánh team
0.0,toàn diễn viên với ăn xin online
0.0,ngài đang đâm chọt
0.0,xem lại steam ren di thầy
0.0,ngài mới sủa nho đó mà
0.0,lý ren
0.0,đang noi xau
0.0,ổn
0.0,chữi aba nãy h
0.0,sao rối z ren
1.0,clmdiễn viên nữa
0.0,ren mặt
0.0,chọt ác quá trời xd
0.0,ngài quay nhanh quá
0.0,lật mặt dv chính trọng ren
0.0,đang check lại
0.0,thăng xkieu đanh đung kiêu meta cua no
0.0,sena chơi tuongs j
0.0,quay lai
0.0,đà nẵng nghỉ rồi t nhớ thầy cô
0.0,ngài nói xấu thầy
0.0,ngài chửi a ba gà kìa
0.0,đang noi xâu
0.0,captan ai là nó
1.0,đái ko lau chim à
0.0,ngài ren nãy bốc phốt anh ba kìa
0.0,ngài nói xấu aba nãy h
0.0,xlm
0.0,ngài nói xấu kìa abe
0.0,nói xấu kìa
0.0,haha
0.0,punchline
0.0,xkieu cân mọi meta
0.0,sena sylas đó
0.0,ngài nói xấu thầy nảy giờ
1.0,cllm
0.0,vần đơn
0.0,fk boiz
0.0,tr mà k đam mê là hỏng r
0.0,mày đi
0.0,voblame
1.0,nghiện thì nói nghiện đam mê cc
0.0,thầy giả bộ đi hút thuốc đi rồi nghe ngài nói xấu
0.0,can lộ lộ
1.0,sena cái lozzz thích thì cút sang kênh nó mà bú
0.0,chúa tể vần đơn
1.0,clm thầy trò
0.0,di
0.0,punchline
0.0,ngài ren cháy
0.0,doran wo
0.0,ngài cũng vui lắm ae xem thử ngài stream bên youtube
1.0,sena cc kênh này kênh aba ok
0.0,doran quoc
0.0,engrisk ác
0.0,chơi vs ai vậy
0.0,ken lót
0.0,ielts mười chấm
0.0,she can not win you
0.0,coach quốc tế
0.0,chạy
0.0,đon quô ri ờ bao đát
0.0,đông vo ry à bao dád
0.0,rp dum udyr no win lane
0.0,đôn wo ri a bao đát
0.0,bị ngài thọt chua hay biết gì v
0.0,ngài vẽ
0.0,để
0.0,để
0.0,để như nào nè
0.0,hahaa
0.0,chi
0.0,đúp bơ diu
0.0,de mam
0.0,nói chậm thoi thầy tui theo ko kịp
0.0,hỏi lại
0.0,laf ddeer chi
1.0,lozz raptor cút
0.0,phải sao nà
0.0,phải sao nàaaa
0.0,phải sao nà
0.0,phải trúng nod
0.0,cái i
0.0,chạy cx là nghệ thuật
1.0,clm ngu vc
0.0,lướt qua nó chạy về
1.0,học trò ngu
0.0,ngô
0.0,trúng nó
1.0,ngu vl
0.0,hahhahahâ
0.0,gây dame
0.0,hỏi lại đòn vãi
0.0,để chi
0.0,k thuộc bài
0.0,chậm hiểu vậy
0.0,thầy giả bộ đi hút thuốc đi ngài
0.0,chú bé đần
0.0,gây dame
1.0,ngu vcl
1.0,học trò ngu
1.0,hoc tro ngu
0.0,e phài sao nà
1.0,clm học trò bù nhìn
0.0,ngô thật sự
1.0,dnt ngu
1.0,ngu vc
1.0,ngu vcl
1.0,trò ngu như bò
0.0,để chi chứ sao
0.0,trúng
1.0,trò dốt
0.0,khó chịu vl
0.0,damge
1.0,abe đần quá
0.0,ko có nộ
1.0,m ngu
0.0,trò ngô
0.0,dame
0.0,sao nà
1.0,học trò ngu vcl
1.0,học trò ngu vcc
0.0,học trò ngô
0.0,phải trúng nó
0.0,có mạng
1.0,bù nhìn vc
0.0,sao nà
0.0,đần
1.0,clm hoc tro nguu
1.0,hs dốt
0.0,xong
0.0,dmg dô nó
0.0,abe không hiểu
0.0,học trò hơi ngô
1.0,ngu lol
1.0,học trò ngu vc
1.0,m ngu
1.0,dốt
0.0,ngô vl
1.0,đần
1.0,má nó đần
0.0,cười ỉa
0.0,luyên thuyên
1.0,non vl
0.0,meta dị vl
1.0,thọt vcl
1.0,xin ngài hãy tha thứ cho đứa học trò dốt bền này
1.0,clm chơi game
1.0,thằng lz xkieu clm nó
1.0,học trò đần vc
0.0,phản thầy
0.0,đii
0.0,ddiiiiiii
0.0,cut nluoonl
0.0,mật vụ
0.0,lz xkieu
1.0,thấy mẹ rồi
0.0,lf
0.0,né
0.0,m chơi ngài xkieu
1.0,cút lun
0.0,m dí
0.0,ăn hại vl
0.0,ngài đ đỡ đc
0.0,có chiện
0.0,xong game
0.0,khởi đầu của thất bại
0.0,giữ bùa vs ivern
1.0,ngu qua ngai ren chiu thua
0.0,cãi thầy
0.0,e ne q diana nghe chuaaaa
0.0,m cãi thầy ren
0.0,cãi thầyyy
0.0,thất học ngay mẫu giáo là chết r
0.0,ivern cướp rừng giữ sao
0.0,mi cãi thầy
0.0,thầy chửi ác quá
1.0,cc
0.0,anh
0.0,ngài ren nọ đúng
0.0,anh trung
0.0,lại cãi
0.0,đớp bô diu
0.0,thưa ngài
0.0,chịch
0.0,m cãi
0.0,đấp bờ diu
0.0,nghe đi
0.0,đớp bơ diu
0.0,trịch
0.0,đắp bơ ziu
0.0,yijin
0.0,m cãi thầy
0.0,chình
0.0,đánh vậy đòi leo cao thủ
0.0,đớp bơ iu
0.0,cái trịch
0.0,đắp pơ diu
0.0,cái loln zzi
0.0,la
0.0,bay
0.0,dzạ
0.0,đớp bơ diuuuuuuuuuu
0.0,đúp bơ diu
0.0,heluu
1.0,bệnh vcl
0.0,bị đui
0.0,căng thẳng thế nhờ
1.0,clm khó chiu
0.0,khó chịu
0.0,lệ liễu hay quá
0.0,phế
0.0,quê
0.0,cayyy
0.0,quê cục
0.0,hụt con xe
0.0,đá xéo b
1.0,bị thầy chửi như chó
0.0,thầy trong thầy
0.0,ủa sao ko đăng video nữa zay aba e ko coi bên ytb
0.0,ngài chiến quá
0.0,s phut
0.0,p
0.0,học trò lz bướng
0.0,s p
0.0,hahahahaha
0.0,phút
0.0,tính lên cho sp nó biết
0.0,hay
0.0,s p
0.0,phut
0.0,phút
0.0,chửi ác
0.0,sp
0.0,ph
0.0,phut
0.0,p hhahahaha
1.0,s phút clm
0.0,cô giáo
0.0,bấm phím mấy để được thưa ngài đây
0.0,co giao thu dam
0.0,dị chiii
1.0,clm dữ z
0.0,ghê vc
0.0,p ghê
0.0,di chi
0.0,cao dang knih te
1.0,clm m ngu vậy trung
0.0,tính toán
0.0,cáo tờ
0.0,bấm tâm an
0.0,quê
0.0,vozer
1.0,nguuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
1.0,clm khó z
0.0,sep
0.0,học cao đẳng
1.0,học trò ngu quá
0.0,hiểu ko
0.0,hahahq
0.0,anh trung kinh tế
0.0,pm
0.0,chẳng lẻ và thầy chọn số chẳng nên p
0.0,củ chương sình
0.0,huấn luyện viên bị kick có khác
0.0,the linh
0.0,cai thay
0.0,cắm mắt ở chợ bà chiểu
0.0,em trung sáng tạo
0.0,đột biến
0.0,cãi thầy
0.0,mài cãi thầy
0.0,m cãi suốt
0.0,biết rồi làm gì được
0.0,hài
0.0,nó địa cái chim em
1.0,liếm chym
0.0,em biết
1.0,tray ngu
0.0,butt
1.0,học trò lz
0.0,liếm bird
0.0,ngày xưa kick người ta giờ thì để ngta dạy
0.0,tr mưa coi chừng ra đường do cãi thầy
0.0,nghịch tử sa đéc
0.0,stack k lấy luôn
0.0,liếm your bird
0.0,liếm dô bird
0.0,liếm bird
0.0,liếm your bird
0.0,do you know my name hello chị như
0.0,m cãi thầy hoài
0.0,nói ra cái gì cũng biết rồi học chi
0.0,thầy ren tuk lắm r
1.0,ra cc mà ra
0.0,thầy nói thì nghe
0.0,tiểu arrizabalaga
0.0,bao thu
0.0,hạ cái tôi xuống
0.0,ai nô đát
0.0,tiểu jiyin
0.0,ghê
0.0,gà z
0.0,delay hả
0.0,ngài non
0.0,em biết
0.0,ghê z
0.0,không có mượn dụ
0.0,m cãi
0.0,ghê zạ
0.0,rùa
0.0,hên
